iter	Passed	Remaining
445	1348	1674
446	1350	1670
447	1353	1667
448	1355	1663
449	1357	1659
450	1359	1654
451	1362	1651
452	1364	1647
453	1365	1642
454	1369	1640
455	1371	1636
456	1373	1631
457	1374	1626
458	1376	1622
459	1378	1617
460	1381	1615
461	1387	1615
462	1388	1610
463	1390	1606
464	1391	1601
465	1392	1596
466	1393	1590
467	1395	1585
468	1396	1581
469	1400	1579
470	1402	1574
471	1403	1570
472	1405	1565
473	1406	1561
474	1408	1556
475	1409	1551
476	1411	1547
477	1414	1545
478	1417	1542
479	1420	1538
480	1422	1535
481	1424	1530
482	1425	1526
483	1427	1522
484	1431	1519
485	1433	1515
486	1434	1511
487	1436	1506
488	1437	1501
489	1439	1498
490	1441	1494
491	1443	1490
492	1444	1485
493	1446	1481
494	1447	1477
495	1449	1472
496	1450	1468
497	1452	1463
498	1455	1460
499	1457	1457
500	1458	1453
501	1460	1448
502	1461	1444
503	1463	1439
504	1464	1435
505	1466	1431
506	1470	1430
507	1473	1426
508	1474	1422
509	1476	1418
510	1477	1413
511	1478	1409
512	1479	1404
513	1481	1400
514	1482	1395
515	1485	1393
516	1487	1389
517	1489	1385
518	1490	1381
519	1492	1377
520	1493	1373
521	1494	1368
522	1496	1364
523	1499	1362
524	1502	1359
525	1503	1355
526	1505	1351
527	1506	1347
528	1508	1342
529	1509	1338
530	1511	1334
531	1514	1332
532	1516	1328
533	1518	1324
534	1520	1321
535	1522	1318
536	1524	1314
537	1525	1309
538	1529	1308
539	1531	1304
540	1534	1301
541	1535	1297
542	1536	1293
543	1538	1289
544	1540	1286
545	1541	1281
546	1545	1279
547	1547	1276
548	1549	1272
549	1551	1269
550	1552	1265
551	1554	1261
552	1555	1257
553	1564	1259
554	1566	1255
555	1567	1252
556	1569	1248
557	1570	1243
558	1571	1239
559	1575	1238
560	1578	1235
561	1582	1233
562	1584	1229
563	1585	1225
564	1587	1222
565	1590	1219
566	1593	1216
567	1596	1214
568	1597	1210
569	1599	1206
570	1601	1203
571	1607	1202
572	1609	1199
573	1611	1196
574	1613	1192
575	1614	1188
576	1616	1184
577	1617	1180
578	1622	1179
579	1623	1175
580	1627	1173
581	1629	1170
582	1632	1167
583	1636	1165
584	1637	1161
585	1639	1158
586	1641	1154
587	1644	1152
588	1647	1149
589	1655	1150
590	1659	1148
591	1661	1145
592	1663	1141
593	1665	1138
594	1667	1135
595	1669	1131
596	1670	1127
597	1671	1123
598	1674	1120
599	1676	1117
600	1678	1114
601	1683	1112
602	1684	1109
603	1686	1105
604	1689	1103
605	1691	1099
606	1693	1096
607	1694	1092
608	1696	1088
609	1697	1085
610	1698	1081
611	1700	1077
612	1702	1075
613	1705	1072
614	1710	1070
615	1711	1066
616	1712	1063
617	1713	1059
618	1715	1056
619	1719	1053
620	1726	1053
621	1727	1050
622	1729	1046
623	1731	1043
624	1735	1041
625	1738	1038
626	1739	1034
627	1741	1031
628	1742	1027
629	1743	1023
630	1745	1020
631	1747	1017
632	1752	1016
633	1754	1012
634	1755	1009
635	1756	1005
636	1757	1001
637	1759	998
638	1762	995
639	1764	992
640	1766	989
641	1769	986
642	1771	983
643	1774	980
644	1778	978
645	1780	975
646	1782	972
647	1783	968
648	1784	965
649	1785	961
650	1788	958
651	1794	957
652	1796	954
653	1798	951
654	1799	947
655	1800	944
656	1801	940
657	1802	937
658	1806	934
659	1811	933
660	1813	930
661	1814	926
662	1817	923
663	1818	920
664	1819	916
665	1824	915
666	1826	911
667	1827	908
668	1829	904
669	1834	903
670	1840	902
671	1842	899
672	1843	895
673	1844	892
674	1845	888
675	1846	885
676	1849	882
677	1856	881
678	1858	878
679	1859	875
680	1862	872
681	1863	868
682	1864	865
683	1872	864
684	1875	862
685	1877	859
686	1879	856
687	1881	853
688	1883	850
689	1885	847
690	1887	844
691	1889	841
692	1891	837
693	1892	834
694	1893	831
695	1898	829
696	1900	826
697	1902	823
698	1903	819
699	1905	816
700	1907	813
701	1908	810
702	1910	807
703	1914	805
704	1917	802
705	1918	798
706	1919	795
707	1920	792
708	1921	788
709	1923	785
710	1925	782
711	1929	780
712	1930	777
713	1932	774
714	1933	770
715	1935	767
716	1936	764
717	1937	761
718	1938	757
719	1940	754
720	1943	751
721	1945	748
722	1946	745
723	1947	742
724	1948	739
725	1950	736
726	1952	733
727	1954	730
728	1957	727
729	1958	724
730	1960	721
731	1961	718
732	1962	714
733	1963	711
734	1964	708
735	1966	705
736	1967	702
737	1968	698
738	1971	696
739	1973	693
740	1974	690
741	1975	686
742	1976	683
743	1977	680
744	1978	677
745	1979	674
746	1980	670
747	1982	667
748	1983	664
749	1986	662
750	1988	659
751	1989	656
752	1990	652
753	1991	649
754	1992	646
755	1993	643
756	1995	640
757	1996	637
758	1997	634
759	1998	631
760	2001	628
761	2003	625
762	2004	622
763	2006	619
764	2007	616
765	2008	613
766	2009	610
767	2010	607
768	2011	604
769	2013	601
770	2015	598
771	2017	595
772	2018	592
773	2019	589
774	2020	586
775	2022	583
776	2023	580
777	2024	577
778	2026	574
779	2027	571
780	2028	568
781	2030	566
782	2032	563
783	2033	560
784	2034	557
785	2035	554
786	2037	551
787	2038	548
788	2039	545
789	2040	542
790	2041	539
791	2043	536
792	2045	533
793	2046	531
794	2047	528
795	2049	525
796	2050	522
797	2052	519
798	2053	516
799	2054	513
800	2055	510
801	2056	507
802	2058	504
803	2060	502
804	2061	499
805	2063	496
806	2064	493
807	2065	490
808	2067	488
809	2068	485
810	2069	482
811	2070	479
812	2071	476
813	2073	473
814	2075	471
815	2077	468
816	2078	465
817	2079	462
818	2080	459
819	2081	456
820	2083	454
821	2084	451
822	2085	448
823	2086	445
824	2087	442
825	2090	440
826	2091	437
827	2093	434
828	2094	432
829	2097	429
830	2098	426
831	2100	424
832	2101	421
833	2102	418
834	2105	415
835	2106	413
836	2107	410
837	2109	407
838	2110	404
839	2111	402
840	2112	399
841	2113	396
842	2114	393
843	2115	391
844	2117	388
845	2118	385
846	2120	383
847	2122	380
848	2123	377
849	2124	374
850	2125	372
851	2127	369
852	2128	366
853	2129	364
854	2130	361
855	2132	358
856	2133	355
857	2135	353
858	2137	350
859	2138	348
860	2139	345
861	2140	342
862	2141	340
863	2143	337
864	2144	334
865	2145	331
866	2146	329
867	2147	326
868	2149	324
869	2151	321
870	2152	318
871	2153	316
872	2154	313
873	2156	310
874	2157	308
875	2158	305
876	2159	302
877	2160	300
878	2161	297
879	2163	294
880	2165	292
881	2166	289
882	2167	287
883	2169	284
884	2170	282
885	2171	279
886	2172	276
887	2173	274
888	2174	271
889	2175	268
890	2177	266
891	2179	263
892	2181	261
893	2182	258
894	2183	256
895	2184	253
896	2185	250
897	2186	248
898	2188	245
899	2189	243
900	2190	240
901	2191	238
902	2192	235
903	2195	233
904	2196	230
905	2197	228
906	2198	225
907	2199	222
908	2201	220
909	2202	217
910	2203	215
911	2205	212
912	2206	210
913	2207	207
914	2209	205
915	2211	202
916	2212	200
917	2213	197
918	2214	195
919	2216	192
920	2217	190
921	2218	187
922	2219	185
923	2220	182
924	2221	180
925	2224	177
926	2225	175
927	2227	172
928	2228	170
929	2229	167
930	2231	165
931	2233	162
932	2234	160
933	2236	158
934	2237	155
935	2241	153
936	2242	150
937	2243	148
938	2245	145
939	2246	143
940	2247	140
941	2248	138
942	2249	135
943	2250	133
944	2252	131
945	2254	128
946	2255	126
947	2257	123
948	2258	121
949	2259	118
950	2260	116
951	2261	114
952	2263	111
953	2264	109
954	2265	106
955	2266	104
956	2267	101
957	2270	99
958	2271	97
959	2272	94
960	2273	92
961	2274	89
962	2275	87
963	2276	85
964	2278	82
965	2279	80
966	2280	77
967	2281	75
968	2283	73
969	2285	70
970	2286	68
971	2287	65
972	2289	63
973	2290	61
974	2291	58
975	2292	56
976	2294	54
977	2295	51
978	2296	49
979	2298	46
980	2300	44
981	2301	42
982	2303	39
983	2304	37
984	2305	35
985	2307	32
986	2308	30
987	2309	28
988	2310	25
989	2311	23
990	2314	21
991	2315	18
992	2317	16
993	2318	13
994	2319	11
995	2320	9
996	2322	6
997	2323	4
998	2324	2
999	2325	0
